game,word,score0,abaca,3
378,babar,5
379,babel,5
380,bacon,3
381,badge,2
382,badli,2
383,badly,3
384,bagel,3
385,baggy,5
386,bairn,4
387,baiza,5
388,baize,3
389,baked,3
390,baker,3
391,balas,4
392,balky,3
393,balle,4
394,balls,3
395,balmy,4
396,balsa,5
397,banal,4
398,banch,2
399,banco,2
400,bands,3
401,bandy,4
402,banff,4
403,banjo,3
404,banns,6
405,bantu,5
406,barba,6
407,barbe,7
408,barbu,5
409,barde,3
410,barge,3
411,baric,2
412,barky,4
413,baron,4
414,barry,5
415,barye,6
416,basal,5
417,based,4
418,basel,4
419,basic,3
420,basil,3
421,basin,4
422,basis,5
423,basso,4
424,basta,5
425,baste,5
426,batch,3
427,bated,5
428,bathe,2
429,batik,3
430,batis,4
431,baton,5
432,batta,6
433,bavin,5
434,bawdy,4
435,bayou,4
436,beach,1
437,beads,3
438,beady,4
439,beams,4
440,beamy,5
441,beard,2
442,beast,4
443,beati,3
444,beats,4
445,beaut,5
446,bebas,3
447,bebop,6
448,beche,2
449,becks,2
450,bedel,3
451,bedew,4
452,bedim,2
453,beech,4
454,beefy,4
455,beery,6
456,befit,4
457,befog,3
458,beget,5
459,begin,3
460,begum,3
461,begun,4
462,beige,4
463,being,3
464,belay,2
465,belch,2
466,belie,5
467,bella,3
468,belle,6
469,belli,4
470,bello,4
471,bells,5
472,belly,5
473,below,4
474,belus,4
475,bench,3
476,benin,4
477,bercy,2
478,beret,5
479,beroe,7
480,berry,6
481,berth,2
482,beryl,5
483,beset,5
484,besom,4
485,besot,5
486,beste,6
487,betel,6
488,betty,6
489,bevel,7
490,bever,6
491,bevue,5
492,bezel,8
493,bhaga,3
494,bhang,2
495,bialy,3
496,bible,4
497,bibos,5
498,biddy,4
499,bidet,3
500,bifid,2
501,bight,2
502,bigot,4
503,bihar,2
504,bijou,4
505,bilbo,5
506,bilge,3
507,bilgy,4
508,bills,4
509,billy,5
510,bimbo,6
511,binge,4
512,bingo,3
513,bioko,4
514,biont,5
515,biota,4
516,biped,2
517,birch,2
518,birds,3
519,birth,3
520,bison,4
521,bitch,3
522,biter,3
523,bites,4
524,bitis,3
525,bitty,5
526,black,2
527,blade,2
528,blahs,4
529,blain,3
530,blame,3
531,blanc,2
532,bland,3
533,blank,3
534,blare,4
535,blase,5
536,blast,4
537,blaze,6
538,bleak,3
539,blear,4
540,bleat,5
541,bleed,4
542,bleep,3
543,blend,3
544,bless,5
545,blest,4
546,bligh,2
547,blimp,5
548,blind,3
549,blini,5
550,blink,4
551,bliss,7
552,blitz,6
553,bloat,3
554,block,3
555,blodd,4
556,bloke,4
557,blond,3
558,blood,5
559,bloom,5
560,blown,4
561,blows,4
562,blowy,5
563,blues,4
564,bluff,3
565,blunt,4
566,blurb,5
567,blurt,5
568,blush,3
569,boann,4
570,board,3
571,boast,4
572,boats,5
573,bobby,6
574,bocca,3
575,bocce,3
576,bogey,3
577,boggy,4
578,bogie,3
579,bogle,3
580,bogus,3
581,boire,4
582,boise,5
583,bolti,4
584,bolus,4
585,bonds,3
586,boned,3
587,boner,4
588,bones,5
589,bongo,4
590,bonis,4
591,bonne,6
592,bonny,5
593,bonos,5
594,bonum,4
595,bonus,5
596,bonze,5
597,booby,8
598,books,6
599,boole,4
600,booly,5
601,boone,7
602,boost,5
603,booth,4
604,boots,7
605,booty,6
606,booze,7
607,boozy,7
608,borax,4
609,bored,4
610,borer,7
611,boric,2
612,borne,4
613,borns,4
614,boron,4
615,bosky,4
616,bosom,5
617,boson,6
618,bossy,5
619,botch,3
620,bothy,3
621,botte,6
622,bouge,4
623,bough,3
624,bound,4
625,bourn,4
626,bouse,5
627,bovid,3
628,bowed,5
629,bowel,5
630,bower,5
631,bowie,4
632,bowls,5
633,boxed,6
634,boxer,6
635,boxes,6
636,boyar,5
637,boyne,5
638,brace,2
639,bract,3
640,bragg,4
641,bragi,3
642,brahm,3
643,braid,2
644,brain,3
645,brake,3
646,braky,4
647,brama,7
648,brand,3
649,brank,3
650,brant,4
651,brash,2
652,brass,8
653,brave,4
654,bravo,5
655,brawl,6
656,brawn,4
657,braze,5
658,bread,3
659,break,4
660,bream,4
661,breed,5
662,brett,4
663,breve,5
664,brian,3
665,briar,4
666,bribe,5
667,brick,2
668,bride,3
669,brief,3
670,brier,4
671,brill,4
672,brine,4
673,bring,4
674,brink,4
675,briny,5
676,brisk,5
677,broad,3
678,broil,3
679,broke,4
680,brome,5
681,bronx,5
682,brood,4
683,brook,5
684,broom,6
685,broth,3
686,brown,5
687,brows,5
688,brrok,5
689,bruce,2
690,bruin,4
691,bruit,5
692,brunt,5
693,brush,4
694,brute,5
